14
0,495,355,424,879,826,793,303,919,263,312,284,747,387
495,0,998,185,430,612,282,623,589,390,406,749,709,450
355,998,0,783,428,780,921,910,446,111,399,88,759,439
424,185,783,0,952,134,649,694,810,527,396,21,710,738
879,430,428,952,0,24,79,408,357,918,939,367,185,119
826,612,780,134,24,0,363,247,170,885,685,59,606,645
793,282,921,649,79,363,0,400,687,208,988,487,96,675
303,623,910,694,408,247,400,0,903,549,72,405,663,249
919,589,446,810,357,170,687,903,0,900,197,203,270,93
263,390,111,527,918,885,208,549,900,0,612,826,516,835
312,406,399,396,939,685,988,72,197,612,0,836,13,764
284,749,88,21,367,59,487,405,203,826,836,0,652,582
747,709,759,710,185,606,96,663,270,516,13,652,0,917
387,450,439,738,119,645,675,249,93,835,764,582,917,0
